Listening for Tuya broadcast on UDP 6666
Listening for encrypted Tuya broadcast on UDP 6667
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.34 {'ip': '10.42.42.34', 'gwId': '785215042cf432e1f3d3', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
