^CListening for Tuya broadcast on UDP 6666
Listening for encrypted Tuya broadcast on UDP 6667
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
10.42.42.10 {'ip': '10.42.42.10', 'gwId': '61244104e09806c19c30', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'AiHXxAyyn7eAkLQY', 'version': '3.3'}
