^CListening for Tuya broadcast on UDP 6666
Listening for encrypted Tuya broadcast on UDP 6667
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
10.42.42.21 {'ip': '10.42.42.21', 'gwId': '48215068d8f15baeb555', 'active': 2, 'ability': 0, 'mode': 0, 'encrypt': True, 'productKey': 'qcgkaqmaivuwfwz4', 'version': '3.3'}
